,,1 Year Avg Return,3 Year Avg Return,5 Year Avg Return,lat,lng,population,firstzip
Texarkana,TX,0.026820586059519647,0.028172906713352486,0.02884804963452381,33.4487,-94.0815,77964.0,75501
Port St. Lucie,FL,0.03577828396614269,0.03731522439415014,0.0387096839950396,27.2796,-80.3883,461152.0,34986
Ponca City,OK,0.02351345893636725,0.024901168935582252,0.02546597446698029,36.7235,-97.0679,24274.0,74601
Gainesville,GA,0.02898439054425883,0.030466959483135936,0.03132924301330253,34.2903,-83.8301,167371.0,30501
Effingham,IL,0.019002465208747266,0.020414998073627677,0.021197719736958165,39.1207,-88.5508,14005.0,62401
Adrian,MI,0.03001176457986876,0.030961258775186407,0.03160343045586034,41.8994,-84.0446,43689.0,49221
Salem,OH,0.021845073169344476,0.02290180526392449,0.02348468986652863,40.9049,-80.8491,17571.0,44460
Thomaston,GA,0.020077306543060613,0.02110217816901927,0.02191229367371994,32.8908,-84.3271,13759.0,30286
Duncan,OK,0.03169211964676233,0.03423219451462334,0.035412340985097934,34.5424,-97.919,20312.0,73533
Danville,KY,0.022622311854158195,0.023473329317822422,0.02412147013184951,37.6418,-84.7777,19529.0,40422
Mount Vernon,WA,0.04367858370089661,0.045868941994948065,0.047487172666164534,48.4202,-122.3115,71422.0,98274
Sioux City,IA,0.029255635415575076,0.030913680079284633,0.03155137463845081,42.4959,-96.3901,106455.0,51106
Somerset,PA,0.01626878500643225,0.017494596488504488,0.017985948172908994,40.005,-79.0778,11738.0,15501
Branson,MO,0.015708674511355047,0.016687638645162428,0.01713112388447735,36.651,-93.2635,25033.0,65616
New London,CT,0.022548039599789238,0.023818825447416758,0.02486996437316491,41.3502,-72.1023,26858.0,06320
Medford,OR,0.03753133370414696,0.040015067833947926,0.04130028830802113,42.3372,-122.8537,170876.0,97504
Redding,CA,0.045799863801332164,0.04894535519285803,0.05033273454700682,40.5698,-122.365,121313.0,96002
Greensboro,NC,0.02135054426196792,0.022668558265702687,0.023240764757589183,36.0956,-79.8269,343090.0,27410
Grants,NM,0.018502839876208155,0.02015789044010119,0.020634694893847616,35.1538,-107.8335,11833.0,87020
Wilson,NC,0.011511309451470941,0.012360281695247055,0.01269284630772427,35.7312,-77.9284,49483.0,27893
Freeport,IL,1.2953705892826406e-05,0.0005302142699530332,0.0008165396400305891,42.2893,-89.6347,24092.0,61032
Maysville,KY,0.010065138488511982,0.010379463802054678,0.0106904173082214,38.6454,-83.7911,11093.0,41056
Zanesville,OH,0.029340384097974237,0.03109880081555283,0.031950589035686594,39.9565,-82.0132,41589.0,43701
Thomasville,GA,0.025084878800216925,0.026722834380651594,0.027326227129489622,30.8394,-83.9782,24275.0,31792
Roanoke,VA,0.024880195430347474,0.026267680025994222,0.027029441668712018,37.2785,-79.958,214674.0,24014
Yakima,WA,0.032627660416256754,0.03463787289837761,0.03558890040742657,46.5923,-120.5496,133191.0,98901
Cedartown,GA,0.02599619602952208,0.02756566410754102,0.02876813184395477,34.0223,-85.2479,12819.0,30125
Pullman,WA,0.04244982236837069,0.04506609527350314,0.04687520055113081,46.734,-117.1669,34425.0,99164
Tahlequah,OK,0.024094478233121164,0.025634833864517592,0.026132510528348973,35.9116,-94.9773,19773.0,74464
Brunswick,GA,0.025022023963160223,0.02738833265608709,0.028566306195876745,31.145,-81.474,53914.0,31520
Moultrie,GA,0.028204734905787676,0.03022142341721623,0.03108389634708586,31.1591,-83.7708,18602.0,31768
Arkadelphia,AR,0.02472038163287671,0.02651010712414159,0.02724795105466704,34.1255,-93.0725,10503.0,71923
Spirit Lake,IA,0.02930355418959385,0.030655391874840454,0.03154255737303746,43.4176,-95.1109,11530.0,51360
Fairfield,IA,0.022371061301838635,0.024017741710895546,0.024672382901058,41.0061,-91.9669,11367.0,52556
Red Bluff,CA,0.008573007034896829,0.009571721972559066,0.009468968309389147,40.1735,-122.2413,19039.0,96080
Grand Forks,ND,0.026797674265323534,0.028991486889222706,0.029967828513431494,47.9218,-97.0886,64748.0,58202
Lufkin,TX,0.03217540519421469,0.034268661875888506,0.035158021008328655,31.3217,-94.7277,44867.0,75904
Sandpoint,ID,0.03506720270512753,0.03876119190388283,0.04048266556923741,48.2822,-116.5613,13145.0,83864
Lancaster,PA,0.028270010154826553,0.02993872757896754,0.030621048006607365,40.0421,-76.3012,401524.0,17603
Glenwood Springs,CO,0.054012961399455106,0.05703179708964634,0.058915702374807255,39.5455,-107.3346,11962.0,81601
Selma,AL,0.022187439847860757,0.024165635550317255,0.02493528255846722,32.4166,-87.0336,19775.0,36703
Frankfort,IN,0.022996169868550353,0.024230731637169267,0.024875340321382833,40.281,-86.5213,16136.0,46041
Nashville,TN,0.03597861346282416,0.0377946397489779,0.03906001239128165,36.1715,-86.7843,1081903.0,37027
Salina,KS,0.019752592497404686,0.021049126706915944,0.02152233037594664,38.8137,-97.6143,46340.0,67401
Greenwood,MS,0.005792335067761334,0.0057923915361592915,0.006102096615183239,33.5126,-90.1993,19961.0,38930
Cleveland,TN,0.03187862578082945,0.03400326785098917,0.034995958972011465,35.1817,-84.8707,73596.0,37312
Hobbs,NM,0.02656298971070803,0.02811499437176712,0.02910235250673221,32.7282,-103.16,42095.0,88240
